Date,Neglected Beta,Russell 2000,S&P 500
1/10/22,0.00%,0.00%,0.00%
1/11/22,1.26%,2.61%,0.92%
1/12/22,-0.38%,-0.82%,0.28%
1/13/22,-2.14%,-0.76%,-1.42%
1/14/22,0.16%,0.14%,0.08%
1/18/22,-2.23%,-3.06%,-1.84%
1/19/22,-0.66%,-1.60%,-0.97%
1/20/22,-0.86%,-1.88%,-1.10%
1/21/22,-1.97%,-1.78%,-1.89%
1/24/22,0.92%,2.29%,0.28%
1/25/22,-1.37%,-1.45%,-1.22%
1/26/22,-0.69%,-1.38%,-0.15%
1/27/22,1.28%,-2.29%,-0.54%
1/28/22,2.32%,1.93%,2.43%
1/31/22,2.43%,3.04%,1.89%
2/1/22,1.30%,1.10%,0.69%
2/2/22,-0.21%,-1.03%,0.94%
2/3/22,-2.34%,-1.90%,-2.44%
2/4/22,0.93%,0.57%,0.52%
2/7/22,0.18%,0.51%,-0.37%
2/8/22,1.77%,1.63%,0.84%
2/9/22,2.36%,1.86%,1.45%
2/10/22,-0.54%,-1.55%,-1.81%
2/11/22,-2.14%,-1.02%,-1.90%
2/14/22,-0.65%,-0.46%,-0.38%
2/15/22,2.00%,2.75%,1.58%
2/16/22,0.07%,0.14%,0.09%
2/17/22,-3.21%,-2.46%,-2.12%
2/18/22,-1.32%,-0.93%,-0.72%
2/22/22,-0.74%,-1.45%,-1.01%
2/23/22,-1.86%,-1.82%,-1.84%
2/24/22,1.57%,2.67%,1.50%
2/25/22,1.80%,2.25%,2.24%
2/28/22,-1.10%,0.35%,-0.24%
3/1/22,-1.42%,-1.93%,-1.55%
3/2/22,2.24%,2.51%,1.86%
3/3/22,-3.34%,-1.29%,-0.53%
3/4/22,-2.40%,-1.55%,-0.79%
3/7/22,-3.63%,-2.48%,-2.95%
3/8/22,-0.43%,0.60%,-0.72%
3/9/22,4.19%,2.71%,2.57%
3/10/22,-1.52%,-0.23%,-0.43%
3/11/22,-2.42%,-1.59%,-1.30%
3/14/22,-1.84%,-1.92%,-0.74%
3/15/22,1.72%,1.40%,2.14%
3/16/22,4.03%,3.14%,2.24%
3/17/22,2.19%,1.69%,1.23%
3/18/22,1.30%,1.02%,1.17%
3/21/22,-0.59%,-0.97%,-0.04%
3/22/22,1.78%,1.08%,1.13%
3/23/22,-1.94%,-1.73%,-1.23%
3/24/22,1.17%,1.13%,1.43%
3/25/22,-0.64%,0.12%,0.51%
3/28/22,0.46%,0.00%,0.71%
3/29/22,2.15%,2.65%,1.23%
3/30/22,-1.96%,-1.97%,-0.63%
3/31/22,-1.85%,-1.00%,-1.57%
4/1/22,0.00%,1.01%,0.34%
4/4/22,1.18%,0.21%,0.81%
4/5/22,-1.85%,-2.36%,-1.26%
4/6/22,-2.19%,-1.42%,-0.97%
4/7/22,-0.18%,-0.35%,0.43%
4/8/22,-0.54%,-0.76%,-0.27%
4/11/22,-0.63%,-0.71%,-1.69%
4/12/22,-0.37%,0.33%,-0.34%
4/13/22,1.67%,1.92%,1.12%
4/14/22,-0.76%,-0.99%,-1.21%
4/18/22,-0.26%,-0.74%,-0.02%
4/19/22,2.59%,2.04%,1.61%
4/20/22,-0.12%,0.37%,-0.06%
4/21/22,-1.87%,-2.29%,-1.48%
4/22/22,-2.74%,-2.55%,-2.77%
4/25/22,0.28%,0.70%,0.57%
4/26/22,-2.30%,-3.26%,-2.81%
4/27/22,0.39%,-0.34%,0.21%
4/28/22,1.75%,1.80%,2.47%
4/29/22,-2.82%,-2.81%,-3.63%
5/2/22,1.37%,1.01%,0.57%
5/3/22,0.77%,0.85%,0.48%
5/4/22,2.98%,2.69%,2.99%