,permno,namedt,nameendt,jdate,me,beta,lagbeta,ranklagbeta,lagbetaq,annRet,annRet10,volRank,wret,wt,comnam,cusip,ticker,industry,indDesc
8,11403,2019-09-12,2021-09-30,2020-12-31,38060420.7767334,1.093144450971821,1.499732538918416,1305.0,4,0.9669693427811372,0.8597218303825491,50.0,36803260.06445143,0.06388754916763878,CADENCE DESIGN SYSTEMS INC,12738710,CDNS,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
23,11581,2020-01-29,2021-09-30,2020-12-31,1352665.8965148923,1.143430154555455,1.4716271809465598,1262.0,4,-0.12949341730612396,-0.10508267248524528,7.0,-175161.32941316525,0.002270561050229156,ENERPAC TOOL GROUP CORP,29276510,EPAC,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
39,12570,2020-11-18,2021-09-30,2020-12-31,6654527.7099609375,1.2399058070606972,1.477332582368897,1274.0,4,0.05422943150385029,0.07177682144161768,19.0,360871.2546378004,0.011170172519937982,I T T INC,45073V10,ITT,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
41,12641,2014-01-09,2021-09-30,2020-12-31,5054062.971664429,1.5299275906826786,1.4740862933113297,1265.0,4,-0.0434317742473872,-0.03999802181785938,10.0,-219506.92201740836,0.00848366071653994,AIR LEASE CORP,00912X30,AL,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
47,13447,2019-11-21,2021-09-30,2020-12-31,107388891.57104492,1.029736887353437,1.4880655745759863,1288.0,4,0.949658733978178,0.8389894667081654,33.0,101982798.81267835,0.18026109407853486,SERVICENOW INC,81762P10,NOW,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
49,13621,2017-01-03,2021-09-30,2020-12-31,411282.3691749573,1.0992691812240152,1.4894617635023149,1292.0,4,0.17256472368261866,0.18066171365693215,37.0,70972.82839220927,0.0006903713108319244,PUMA BIOTECHNOLOGY INC,74587V10,PBYI,Hlth,"Healthcare, Medical Equipment, and Drugs"
50,14231,2013-10-16,2021-09-30,2020-12-31,37127277.0,0.8228734611104381,1.489988435960511,1293.0,4,0.9355167637796706,0.8683048544004526,38.0,34733190.0269914,0.06232119052787894,VEEVA SYSTEMS INC,92247510,VEEV,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
53,14441,2019-08-12,2021-09-01,2020-12-31,208367.72878837585,1.109506573071381,1.4767121343211431,1270.0,4,0.4193497064384819,0.5172350736462505,15.0,87378.94589865863,0.00034976238428909766,SHARPSPRING INC,82005410,SHSP,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
56,14580,2020-07-01,2021-09-30,2020-12-31,3549154.594192505,1.4684412117010166,1.4890368854997722,1290.0,4,2.7634720464134617,1.9275457453774385,35.0,9807989.509450901,0.005957548130383167,MAGNITE INC,55955D10,MGNI,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
57,14596,2014-04-04,2021-03-28,2020-12-31,11594111.59423828,0.6954352799257999,1.4684581253201758,1257.0,4,1.6593329916608013,1.44925370250638,2.0,19238491.877316587,0.019461670665101943,FIVE 9 INC,33830710,FIVN,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
60,14641,2019-08-05,2021-09-30,2020-12-31,16698811.670288084,1.0752533536460511,1.473609898929112,1263.0,4,0.8676821379196726,0.7634368234191959,8.0,14489260.610793544,0.028030329929479934,ZENDESK INC,98936J10,ZEN,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
64,15071,2019-09-17,2021-09-30,2020-12-31,7081091.2645339975,1.2970102969307082,1.4691415809912496,1259.0,4,0.1455213857082629,0.13644596961928526,4.0,1030450.2131416629,0.011886194558311466,SYNEOS HEALTH INC,87166B10,SYNH,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
65,15429,2015-06-25,2021-09-30,2020-12-31,902143.7346935272,1.0797960476657598,1.4753106688219881,1269.0,4,-0.3422679996063089,-0.2816783204458663,14.0,-308774.9314309182,0.001514322517467887,LANTHEUS HOLDINGS INC,51654410,LNTH,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
67,15482,2019-09-03,2021-09-30,2020-12-31,3214591.038703919,1.4263276751540659,1.4978086522188028,1301.0,4,-0.21575816307697804,-0.2029335115254608,46.0,-693574.2575544723,0.0053959556633328964,UNIVAR SOLUTIONS INC,91336L10,UNVR,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
69,15533,2019-09-12,2021-03-09,2020-12-31,1449330.9017047884,1.1668825818675694,1.4926456601510891,1297.0,4,2.5171673835077866,2.8304749009352177,42.0,3648208.473681223,0.0024328212182942125,NANTKWEST INC,63016Q10,NK,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
71,15638,2019-08-02,2021-09-30,2020-12-31,2680802.465003968,1.2221885899598817,1.4791008681207145,1277.0,4,-0.4551502404583144,-0.4832344866739113,22.0,-1220167.8865677982,0.004499947604267337,GLOBAL BLOOD THERAPEUTICS INC,37890U10,GBT,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
72,17374,2018-03-15,2021-09-30,2020-12-31,1685401.0205612185,1.0417990237957546,1.479023213085398,1276.0,4,1.5703104647712114,1.5501100369789391,21.0,2646602.859923361,0.002829084344598644,ARCUS BIOSCIENCES INC,03969F10,RCUS,Hlth,"Healthcare, Medical Equipment, and Drugs"
75,17787,2020-01-14,2021-09-30,2020-12-31,11379463.627853395,1.5808099317131799,1.4860431926270954,1286.0,4,0.0657477692844477,0.02361356952202498,31.0,748174.3491848692,0.01910136638505754,EQUITABLE HOLDINGS INC,29452E10,EQH,Money,Finance
76,17899,2018-06-28,2021-09-13,2020-12-31,1382802.9228973386,0.4238037710367586,1.4737738327930905,1264.0,4,1.2641080188138516,1.258557389408426,9.0,1748012.2632737579,0.002321148529702109,TRANSLATE BIO INC,89374L10,TBIO,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
77,17906,2018-06-15,2021-09-30,2020-12-31,292825.9158229828,1.6836145171250558,1.4701006295973442,1260.0,4,-0.2756495850578168,-0.2083957764364599,5.0,-80717.34219078039,0.0004915324032921873,VERRICA PHARMACEUTICALS INC,92511W10,VRCA,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
78,18142,2018-10-29,2021-09-30,2020-12-31,3041136.7327404027,1.1271469875357385,1.4906943853471049,1294.0,4,0.7820605242215937,0.8264592890499749,39.0,2378352.987436504,0.005104798333108186,RESIDEO TECHNOLOGIES INC,76118Y10,REZI,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
80,18428,2019-12-23,2021-09-30,2020-12-31,41167236.0,1.3152274446683323,1.4772456803912315,1272.0,4,0.08012750768030319,0.13269495570419676,17.0,3298628.018766854,0.06910259425333447,DOW INC,26055710,DOW,Chems,Chemicals and Allied Products
88,27633,2020-02-28,2021-04-27,2020-12-31,3328184.5495491032,1.1847406333675459,1.4834814550908035,1283.0,4,0.20326790192064026,0.2162570361291687,28.0,676513.0905915374,0.005586631721588217,RYDER SYSTEMS INC,78354910,R,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
96,31500,2020-05-22,2021-02-26,2020-12-31,7757402.244850159,1.384828072598814,1.4769566890723078,1271.0,4,0.6046430410667303,0.5806064285644879,16.0,4690459.28410408,0.013021438208428335,EATON VANCE CORP,27826510,EV,Money,Finance
101,45728,2006-06-30,2021-09-30,2020-12-31,307987.39343643194,1.3615804441778048,1.4686743245528382,1258.0,4,-0.004449762195060658,0.014449225926203456,3.0,-1370.470659868708,0.0005169821914636155,INVACARE CORP,46120310,IVC,Hlth,"Healthcare, Medical Equipment, and Drugs"
105,46690,2012-05-02,2021-09-30,2020-12-31,2540208.0604553227,1.278806552728854,1.4997047565871044,1304.0,4,-0.020808256946757142,0.02176450161381549,49.0,-52857.30202017796,0.004263948323387411,CABOT CORP,12705510,CBT,Chems,Chemicals and Allied Products
114,64282,2014-01-07,2021-08-02,2020-12-31,10342873.328075407,1.3923953509418852,1.4791037325058132,1278.0,4,1.0787138801969127,0.9866184992226692,23.0,11157001.020113379,0.017361364241301747,L BRANDS INC,50179710,LB,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
131,70519,2019-09-30,2021-09-30,2020-12-31,128373653.28231812,1.5382647196858277,1.4841359888105181,1284.0,4,-0.19639810159358065,-0.1983048732068368,29.0,-25212341.799279813,0.2154857439441955,CITIGROUP INC,17296742,C,Money,Finance
136,77157,2019-12-27,2021-09-30,2020-12-31,1870275.3400459287,1.3586075724817122,1.4707970413538107,1261.0,4,0.0018555774916744203,-0.1020184165352701,6.0,3470.440824222948,0.003139411107542196,O I GLASS INC,67098H10,OI,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
146,79444,2020-12-28,2021-09-30,2020-12-31,669747.1813964844,1.2226228489812347,1.4893405125978811,1291.0,4,-0.7266983180976325,-0.7175163488494793,36.0,-486704.1502714552,0.0011242257733396447,TALOS ENERGY INC,87484T10,TALO,Enrgy,"Oil, Gas, and Coal Extraction and Products"
155,79545,2014-01-23,2021-09-30,2020-12-31,9448214.010757446,0.9891468871494358,1.4971487982590568,1300.0,4,-0.092007294801439,-0.0606080794643501,45.0,-869304.6118348468,0.0158596049344688,BORGWARNER INC,09972410,BWA,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances"
158,80539,2004-06-10,2021-09-30,2020-12-31,3061547.0,0.8087514048822086,1.4856105007857572,1285.0,4,-0.21241123549993654,-0.21259320830793604,30.0,-650306.9808111242,0.005139058646747947,NEKTAR THERAPEUTICS,64026810,NKTR,Hlth,"Healthcare, Medical Equipment, and Drugs"
164,80969,2020-07-06,2021-09-30,2020-12-31,218951.04620361328,1.1305781841115337,1.4827459283470652,1281.0,4,0.1458526855747735,0.12453738892915167,26.0,31934.59809820331,0.0003675273537225423,COVENANT LOGISTICS GROUP INC,22284P10,CVLG,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
170,81282,2007-07-25,2021-09-30,2020-12-31,4500614.195739746,1.0643935931285124,1.4784930581357572,1275.0,4,0.014391557479728869,-0.01283939259252409,20.0,64770.84789207227,0.0075546513897362675,A C I WORLDWIDE INC,00449810,ACIW,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
173,83111,2011-02-10,2021-07-20,2020-12-31,34349052.72766113,0.7261539090900068,1.4682182715231893,1256.0,4,0.4446507951005705,0.41086201580640813,1.0,15273333.606305942,0.05765771240085098,ALEXION PHARMACEUTICALS INC,01535110,ALXN,Hlth,"Healthcare, Medical Equipment, and Drugs"
175,83120,2004-06-10,2021-09-30,2020-12-31,921406.7670822142,1.3281764660939803,1.4828673284843803,1282.0,4,-0.0326425509282644,0.0018963818394892586,27.0,-30077.067320128634,0.0015466571029436832,COLUMBUS MCKINNON CORP NY,19933310,CMCO,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
184,83822,2019-09-17,2021-09-30,2020-12-31,1439197.553396225,1.6333592314777847,1.4885618470793491,1289.0,4,0.025024780619760545,0.015945719286063254,34.0,36015.603042236646,0.0024158115590449405,GUESS INC,40161710,GES,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
190,85176,2019-09-12,2021-09-30,2020-12-31,426993.8312072754,1.4111578739927468,1.4793974186270764,1279.0,4,-0.4415978584825434,-0.4357872595901665,24.0,-188559.56144638942,0.0007167442931216741,D X P ENTERPRISES INC,23337740,DXPE,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
201,86544,2019-09-12,2021-03-01,2020-12-31,766496.0626487731,1.3891729622684348,1.4743600354557491,1268.0,4,-0.3913639887136324,-0.3696610733161825,13.0,-299978.9564115181,0.001286626734279576,BLUCORA INC,09522910,BCOR,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
204,86719,2004-06-10,2021-09-30,2020-12-31,7178761.0203933725,1.2414335539713557,1.4876965452024753,1287.0,4,0.07226927604298661,0.08813390210613536,32.0,518803.86182944087,0.012050141283079985,EAST WEST BANCORP INC,27579R10,EWBC,Money,Finance
209,88174,2006-06-30,2021-09-30,2020-12-31,4203885.389076233,0.9292784183527092,1.4909415901178231,1295.0,4,0.6818931753950253,0.5746459376147381,40.0,2866600.7569539435,0.007056567662906881,LIVEPERSON INC,53814610,LPSN,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
213,88860,2020-02-14,2021-09-30,2020-12-31,42141207.18505859,1.3726978933661795,1.4799329736744773,1280.0,4,0.9150542780100756,0.8020403167397132,25.0,38561491.91519679,0.07073748505862298,ALIGN TECHNOLOGY INC,01625510,ALGN,Hlth,"Healthcare, Medical Equipment, and Drugs"
218,89908,2020-02-13,2021-03-28,2020-12-31,341383.05774593353,1.6503934739452888,1.493111597622668,1298.0,4,-0.05649884688420481,0.10075178147225183,43.0,-19287.74910844915,0.0005730395629276615,CONNS INC,20824210,CONN,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)"
222,89960,2012-05-02,2021-09-30,2020-12-31,1722746.1123695376,1.0137017716244219,1.4979252446426958,1302.0,4,0.1835162729414357,0.3106717742179517,47.0,316151.9457664053,0.0028917711552114284,KRONOS WORLDWIDE INC,50105F10,KRO,Chems,Chemicals and Allied Products
229,90756,2020-05-04,2021-03-28,2020-12-31,5869113.2791900635,1.0579443433681643,1.4989851640248641,1303.0,4,-0.07542789805214213,-0.0649557838186422,48.0,-442694.8780792217,0.009851789747524665,OSHKOSH CORP,68823920,OSK,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
233,92257,2019-09-12,2021-09-30,2020-12-31,15787103.941711426,0.8899339055448444,1.4742849542746743,1267.0,4,-0.07595744415486316,-0.07601863136169174,12.0,-1199148.0660195658,0.026499953461031532,VMWARE INC,92856340,VMW,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment"
239,92486,2020-09-30,2021-09-30,2020-12-31,405413.18563127524,1.1944099412904454,1.474117772995081,1266.0,4,1.1239824747241878,1.2595578049166027,11.0,455677.31567165727,0.0006805194031396662,FLUENT INC,34380C10,FLNT,Telcm,Telephone and Television Transmission
242,92619,2020-03-27,2021-09-30,2020-12-31,133508.04764521122,1.2166351480203883,1.4773126264779564,1273.0,4,-0.7179845612208239,-0.7157811903067424,18.0,-95856.71700799583,0.00022410424751328646,GRAN TIERRA ENERGY INC,38500T10,GTE,Enrgy,"Oil, Gas, and Coal Extraction and Products"
247,92729,2019-08-02,2021-09-30,2020-12-31,3612981.3171463017,1.4439414533539288,1.4938020597198207,1299.0,4,0.015077935820055009,0.008632535477232084,44.0,54476.30041898975,0.006064686538674562,JOHN BEAN TECHNOLOGIES CORP,47783910,JBT,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing"
249,92871,2020-03-04,2021-09-30,2020-12-31,1645511.0,1.3635269533403134,1.4911148928888578,1296.0,4,0.8244771963107063,0.7808787075123431,41.0,1356686.2957784266,0.0027621256615916272,VIRTUS INVESTMENT PARTNERS INC,92828Q10,VRTS,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment"
